pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,gaia_dist,st_optmag,st_optband,gaia_gmag,st_teff,st_mass,st_rad,rowupdate,pl_facility
Kepler-668 b,Transit,0,1,8.35390639,,,,,,0.241,,0,1,0,1,19h01m59.82s,285.499250,+49d16m38.5s,49.277348,877.00,802.51,15.317,Kepler-band,15.293,5352.00,0.87,0.82,2016-05-10,Kepler
Kepler-669 b,Transit,0,1,4.12554687,,,,,,0.431,,0,1,0,1,19h27m44.68s,291.936173,+49d15m14.3s,49.253986,1778.00,2198.40,15.506,Kepler-band,15.482,6038.00,1.15,1.20,2016-05-10,Kepler
Kepler-67 b,Transit,0,1,15.72590000,0.117100,,,,,0.262,,0,1,0,1,19h36m36.80s,294.153336,+46d09m59.2s,46.166438,1107.00,1165.55,16.400,V (Johnson),16.172,5331.00,0.86,0.78,2014-05-14,Kepler
Kepler-670 b,Transit,0,1,2.81650485,,,,,,1.176,,0,1,0,1,19h48m03.71s,297.015468,+49d13m31.1s,49.225292,980.00,965.64,15.052,Kepler-band,15.027,5709.00,0.99,0.99,2016-05-10,Kepler
Kepler-671 b,Transit,0,1,4.28095859,,,,,,0.240,,0,1,0,1,19h37m03.79s,294.265808,+49d18m50.7s,49.314091,1139.00,1207.94,15.356,Kepler-band,15.358,5624.00,0.97,0.95,2016-05-10,Kepler
Kepler-672 b,Transit,0,1,38.37746230,,,,,,0.223,,1,1,0,1,19h26m53.28s,291.722008,+49d28m51.2s,49.480877,1011.00,1065.51,15.172,Kepler-band,15.131,5627.00,0.95,0.92,2016-05-10,Kepler
Kepler-673 b,Transit,0,1,3.72873109,,,,,,0.583,,0,1,0,1,19h23m08.58s,290.785759,+50d03m14.8s,50.054119,978.00,942.85,15.523,Kepler-band,15.506,5355.00,0.88,0.84,2016-05-10,Kepler
Kepler-674 b,Transit,0,1,2.24338185,,,,,,0.151,,0,1,0,1,19h00m42.29s,285.176211,+50d08m59.3s,50.149818,302.00,345.64,15.135,Kepler-band,15.127,4192.00,0.60,0.57,2016-05-10,Kepler
Kepler-675 b,Transit,0,1,2.33743801,,,,,,0.218,,0,1,0,1,19h35m20.00s,293.833326,+50d13m49.3s,50.230354,651.00,678.42,15.334,Kepler-band,15.336,4945.00,0.79,0.75,2016-05-10,Kepler
Kepler-676 b,Transit,0,1,11.59822172,,,,,,0.271,,0,1,0,1,19h44m53.27s,296.221970,+50d17m14.1s,50.287237,243.00,297.70,15.937,Kepler-band,15.879,3701.00,0.51,0.49,2016-05-10,Kepler
Kepler-677 b,Transit,0,1,6.57531678,,,,,,0.480,,0,1,0,1,19h20m23.54s,290.098067,+50d19m17.8s,50.321609,1180.00,2073.78,15.312,Kepler-band,15.297,5723.00,1.00,0.99,2016-05-10,Kepler
Kepler-678 b,Transit,0,1,7.27503724,,,,,,0.459,,0,1,0,1,19h41m49.27s,295.455293,+50d29m40.4s,50.494560,875.00,1927.59,15.080,Kepler-band,15.061,5520.00,0.94,0.91,2016-05-10,Kepler
Kepler-679 b,Transit,0,1,12.39358604,,,,,,0.269,,0,1,0,1,19h44m05.12s,296.021342,+50d34m04.0s,50.567783,968.00,946.82,15.505,Kepler-band,15.529,5403.00,0.87,0.84,2016-05-10,Kepler
Kepler-68 b,Transit,0,3,5.39880000,,0.000000,,0.02407,Mass,,,0,1,0,1,19h24m07.75s,291.032305,+49d02m25.0s,49.040272,144.77,144.77,9.990,V (Johnson),9.934,5793.00,1.08,1.24,2019-06-27,Kepler
Kepler-68 c,Transit,0,3,9.60510000,,0.000000,,0.00642,Mass,,,0,1,0,1,19h24m07.75s,291.032305,+49d02m25.0s,49.040272,144.77,144.77,9.990,V (Johnson),9.934,5793.00,1.08,1.24,2019-06-27,Kepler
Kepler-68 d,Radial Velocity,0,3,634.60000000,,0.112000,,0.77000,Msini,,,0,1,0,0,19h24m07.75s,291.032305,+49d02m25.0s,49.040272,144.77,144.77,9.990,V (Johnson),9.934,5793.00,1.08,1.24,2019-06-13,W. M. Keck Observatory
Kepler-680 b,Transit,0,1,3.68992629,,,,,,0.216,,0,1,0,1,19h26m29.38s,291.622410,+50d37m05.7s,50.618237,1342.00,1559.56,15.242,Kepler-band,15.215,5890.00,1.08,1.11,2016-05-10,Kepler
Kepler-681 b,Transit,0,1,26.39435646,,,,,,0.275,,0,1,0,1,19h17m35.93s,289.399721,+51d15m01.2s,51.250324,666.00,700.68,15.234,Kepler-band,15.227,5021.00,0.80,0.76,2016-05-10,Kepler
Kepler-682 b,Transit,0,1,12.61190667,,,,,,0.658,,0,1,0,1,19h16m26.93s,289.112222,+51d44m14.6s,51.737381,951.00,2102.40,15.140,Kepler-band,15.117,5559.00,0.92,0.89,2016-05-10,Kepler
Kepler-683 b,Transit,0,1,2.53918318,,,,,,0.176,,0,1,0,1,19h25m45.60s,291.439982,+37d54m20.4s,37.905656,976.00,1053.16,15.026,Kepler-band,15.001,5703.00,0.96,0.95,2016-05-10,Kepler
Kepler-684 b,Transit,0,1,6.77030201,,,,,,0.300,,0,1,0,1,19h23m28.92s,290.870517,+38d16m25.1s,38.273635,1066.00,1819.59,15.591,Kepler-band,15.579,5493.00,0.89,0.86,2016-05-10,Kepler
Kepler-685 b,Transit,0,1,1.62552220,,,,,,0.944,,0,1,0,1,19h35m29.26s,293.871930,+38d25m22.6s,38.422949,1145.00,963.39,15.001,Kepler-band,15.019,5963.00,1.11,1.16,2016-05-10,Kepler
Kepler-686 b,Transit,0,1,1.59474546,,,,,,1.084,,0,1,0,1,19h00m51.31s,285.213807,+39d01m38.9s,39.027485,1203.00,1557.43,15.530,Kepler-band,15.524,5649.00,0.94,0.92,2016-05-10,Kepler
Kepler-687 b,Transit,0,1,20.50586978,,,,,,0.314,,0,1,0,1,19h17m15.71s,289.315452,+39d09m11.8s,39.153285,628.00,645.23,15.398,Kepler-band,15.394,4841.00,0.77,0.73,2016-05-10,Kepler
Kepler-688 b,Transit,0,1,3.89593684,,,,,,0.871,,0,1,0,1,19h38m37.26s,294.655242,+39d18m30.1s,39.308366,1247.00,1409.83,15.725,Kepler-band,15.732,5715.00,0.98,0.96,2016-05-10,Kepler
Kepler-689 b,Transit,0,1,22.36656079,,,,,,0.258,,0,1,0,1,19h38m50.55s,294.710624,+39d31m18.3s,39.521744,1044.00,1167.05,15.583,Kepler-band,15.592,5518.00,0.91,0.88,2016-05-10,Kepler
Kepler-69 b,Transit,0,2,13.72234100,0.094000,0.160000,89.620,,,0.200,,0,1,0,1,19h33m02.63s,293.260938,+44d52m08.0s,44.868896,746.33,746.33,14.000,V (Johnson),13.712,5638.00,0.81,0.93,2014-05-14,Kepler
Kepler-69 c,Transit,0,2,242.46130000,0.640000,0.140000,89.850,,,0.153,,0,1,0,1,19h33m02.63s,293.260938,+44d52m08.0s,44.868896,746.33,746.33,14.000,V (Johnson),13.712,5638.00,0.81,0.93,2014-05-14,Kepler
Kepler-690 b,Transit,0,1,7.74809437,,,,,,0.531,,0,1,0,1,19h37m57.58s,294.489906,+39d46m17.2s,39.771446,1653.00,1741.59,15.670,Kepler-band,15.672,5913.00,1.11,1.16,2016-05-10,Kepler
Kepler-691 b,Transit,0,1,8.11437900,,,,,,0.186,,0,1,0,1,19h15m14.88s,288.812003,+40d02m00.2s,40.033398,239.00,281.32,15.877,Kepler-band,15.838,3715.00,0.53,0.50,2016-05-10,Kepler
Kepler-692 b,Transit,0,1,21.81293494,,,,,,0.277,,0,1,0,1,19h39m06.44s,294.776840,+40d09m13.5s,40.153738,1000.00,1018.97,15.540,Kepler-band,15.550,5440.00,0.90,0.86,2016-05-10,Kepler
Kepler-693 b,Transit,0,1,15.37563332,,,,,,0.908,,0,1,0,1,18h53m00.85s,283.253557,+40d21m29.5s,40.358196,1002.00,1189.39,16.422,Kepler-band,16.414,4881.00,0.76,0.72,2016-05-10,Kepler
Kepler-694 b,Transit,0,1,6.36584161,,,,,,0.250,,0,1,0,1,19h24m35.88s,291.149507,+40d25m13.9s,40.420518,1023.00,1053.33,15.090,Kepler-band,15.086,5700.00,0.97,0.95,2016-05-10,Kepler
Kepler-695 b,Transit,0,1,3.04033042,,,,,,0.822,,0,1,0,1,19h57m15.86s,299.316097,+40d49m20.5s,40.822362,620.00,863.20,15.028,Kepler-band,15.113,5181.00,0.84,0.80,2016-05-10,Kepler
Kepler-696 b,Transit,0,1,4.19042557,,,,,,0.548,,0,1,0,1,19h33m59.19s,293.496610,+41d08m15.3s,41.137592,1285.00,1474.64,15.270,Kepler-band,15.239,5903.00,1.06,1.08,2016-05-10,Kepler
